transaction_id,user_id,product_id,product_name,category,price,quantity,timestamp,country,payment_method
1,173,362,Optimized bifurcated software,Electronics,339.65,4,2024-10-04 11:19:50.626164,Chile,Bank Transfer
2,563,307,Multi-layered stable hub,Electronics,408.43,5,2024-10-29 14:17:00.507894,Spain,Cash
3,117,116,Mandatory attitude-oriented hub,Sports,506.71,3,2025-02-25 04:07:52.010636,Chile,PayPal
4,556,213,Organized human-resource time-frame,Beauty,508.83,1,2025-05-15 06:53:05.461759,Peru,Bank Transfer
5,560,470,Universal 3rdgeneration info-mediaries,Clothing,13.85,2,2025-03-29 20:31:41.467060,Colombia,Credit Card
6,754,198,Synergized regional interface,Books,388.59,2,2025-07-31 09:35:10.509208,Argentina,Credit Card
7,461,431,Cloned content-based workforce,Toys,518.47,3,2025-08-27 03:48:04.096251,Argentina,Credit Card
8,450,276,Up-sized fresh-thinking knowledgebase,Sports,543.39,1,2025-06-24 00:29:32.565916,Mexico,Debit Card
9,831,131,Innovative homogeneous customer loyalty,Clothing,221.6,5,2025-06-11 08:03:07.471857,Peru,PayPal
10,882,113,Down-sized zero administration adapter,Home & Garden,64.64,5,2024-11-09 21:46:01.352595,Peru,Bank Transfer
11,170,460,Synergistic mobile Internet solution,Books,523.97,5,2024-10-26 01:37:23.664013,Mexico,Debit Card
12,834,177,Focused optimizing concept,Sports,73.86,2,2024-11-24 12:08:42.041399,Spain,Cash
13,360,403,Proactive zero administration archive,Toys,199.13,5,2025-07-14 07:12:33.544662,Argentina,Cash
14,552,431,Cloned content-based workforce,Toys,518.47,2,2025-04-18 14:16:08.495662,Argentina,PayPal
15,297,60,Customizable systemic architecture,Toys,828.1,5,2025-01-27 15:05:43.459337,Argentina,Cash
16,922,381,Switchable contextually-based paradigm,Home & Garden,286.27,1,2025-01-24 08:42:12.047154,Mexico,Bank Transfer
17,941,71,Seamless eco-centric hardware,Food,120.52,1,2025-03-06 19:49:24.145970,Argentina,Debit Card
18,719,201,Multi-layered non-volatile leverage,Food,162.34,2,2024-11-27 16:09:33.103261,Mexico,Debit Card
19,729,102,Exclusive value-added collaboration,Clothing,131.15,3,2025-02-21 05:14:25.545041,Mexico,Bank Transfer
20,502,67,Re-contextualized needs-based archive,Toys,752.26,2,2025-05-04 21:37:37.127172,Chile,PayPal
21,643,320,Customizable motivating moratorium,Sports,227.69,4,2025-02-01 15:52:57.296000,Colombia,Bank Transfer
22,78,464,Down-sized zero tolerance initiative,Books,600.83,1,2024-09-15 23:14:02.006331,Colombia,Cash
23,768,498,Persistent dynamic knowledgebase,Toys,498.47,3,2025-08-05 19:51:21.679329,Peru,PayPal
24,466,45,Focused 5thgeneration info-mediaries,Food,116.15,4,2025-03-06 15:55:06.680924,Argentina,Cash
25,3,379,Organized stable moratorium,Beauty,483.84,1,2025-05-28 04:40:51.816114,Peru,Bank Transfer
