product_id,product_name,category,brand,cost_price,selling_price
1,Balanced heuristic approach,Toys,BrandE,347.43,480.75
2,Switchable tertiary system engine,Beauty,BrandD,239.26,363.33
3,Programmable background protocol,Beauty,BrandC,179.15,263.75
4,Progressive non-volatile orchestration,Sports,BrandC,119.12,194.5
5,Versatile needs-based project,Clothing,GenericBrand,372.73,659.93
6,Horizontal fresh-thinking challenge,Books,BrandC,99.81,164.0
7,Virtual dedicated frame,Sports,BrandC,490.35,833.39
8,Open-architected intermediate implementation,Home & Garden,GenericBrand,183.64,253.67
9,Pre-emptive 4thgeneration matrix,Books,BrandE,140.78,251.23
10,Inverse next generation matrices,Sports,BrandD,350.22,446.8
11,Integrated modular toolset,Clothing,BrandD,437.0,674.92
12,Visionary systemic standardization,Food,BrandA,223.03,292.31
13,Progressive 6thgeneration core,Sports,BrandA,470.83,699.95
14,Integrated optimizing synergy,Toys,GenericBrand,248.41,384.09
15,Stand-alone foreground support,Electronics,BrandC,80.1,135.1
16,Public-key 4thgeneration application,Clothing,BrandD,496.99,631.71
17,Networked content-based help-desk,Home & Garden,BrandD,388.97,555.54
18,Synergized intermediate support,Sports,BrandC,430.78,772.83
19,Profound holistic software,Electronics,BrandB,306.77,504.35
20,Extended bandwidth-monitored knowledgebase,Home & Garden,BrandB,136.0,169.82
21,Face-to-face transitional functionalities,Books,BrandD,278.24,360.02
22,Universal demand-driven methodology,Food,BrandA,346.24,513.11
23,Re-engineered scalable pricing structure,Home & Garden,BrandD,147.61,202.17
24,Balanced homogeneous database,Clothing,GenericBrand,345.26,605.71
25,Implemented 24hour encoding,Home & Garden,GenericBrand,215.44,328.92
26,Enhanced human-resource emulation,Books,BrandA,454.66,771.09
27,Open-architected 6thgeneration collaboration,Electronics,GenericBrand,87.13,120.64
28,Right-sized dynamic process improvement,Sports,BrandC,222.38,329.39
29,Optimized systemic orchestration,Toys,BrandD,471.62,707.56
30,Expanded solution-oriented support,Food,BrandD,44.82,54.86
31,Open-source system-worthy access,Beauty,BrandB,303.84,369.32
32,Open-source homogeneous focus group,Electronics,BrandC,499.79,801.35
33,Vision-oriented mobile extranet,Electronics,BrandE,382.74,499.52
34,Self-enabling system-worthy infrastructure,Food,BrandE,458.46,600.08
35,Total zero administration knowledge user,Toys,BrandA,319.22,477.25
36,Switchable system-worthy definition,Food,GenericBrand,177.24,248.13
37,Sharable bifurcated budgetary management,Clothing,GenericBrand,429.58,600.5
38,Pre-emptive asymmetric contingency,Food,BrandE,147.67,260.95
39,Down-sized user-facing extranet,Electronics,BrandC,230.14,319.6
